,raw roi,group id
526,5682,6.0
178,1328,6.0
177,1320,6.0
248,2331,6.0
651,7592,6.0
531,5718,6.0
175,1315,6.0
554,5982,6.0
644,7441,6.0
642,7433,6.0
168,1181,6.0
640,7395,6.0
271,2693,6.0
185,1427,6.0
523,5650,6.0
542,5792,6.0
614,6979,6.0
521,5630,6.0
588,6587,6.0
518,5610,6.0
586,6539,6.0
587,6585,6.0
211,1710,7.0
216,1754,7.0
217,1773,7.0
60,271,7.0
544,5848,7.0
53,246,7.0
2,15,7.0
376,4298,7.0
463,5220,7.0
629,7239,7.0
49,200,7.0
400,4654,7.0
435,5093,7.0
223,1849,7.0
409,4806,7.0
226,1891,7.0
17,78,7.0
467,5237,7.0
731,9305,7.0
33,123,7.0
209,1689,7.0
717,9018,7.0
36,147,7.0
313,3274,7.0
58,266,7.0
654,7634,7.0
86,402,7.0
336,3721,7.0
687,8388,7.0
308,3221,7.0
494,5434,7.0
512,5553,7.0
123,644,7.0
355,3997,7.0
356,4016,7.0
293,2952,7.0
488,5405,7.0
567,6134,8.0
27,106,8.0
89,412,8.0
332,3664,8.0
388,4468,8.0
582,6447,8.0
573,6268,8.0
479,5325,8.0
705,8772,8.0
478,5316,8.0
346,3883,8.0
269,2646,8.0
507,5513,8.0
59,270,8.0
106,518,8.0
370,4249,8.0
628,7238,8.0
756,9860,8.0
76,347,8.0
279,2772,8.0
631,7252,8.0
292,2951,8.0
110,537,9.0
440,5106,9.0
300,3070,9.0
497,5457,9.0
108,534,9.0
11,52,9.0
632,7256,9.0
179,1330,9.0
489,5407,9.0
239,2133,9.0
66,290,9.0
365,4126,9.0
258,2483,9.0
698,8634,9.0
383,4370,9.0
347,3897,9.0
402,4700,9.0
150,965,9.0
505,5506,10.0
716,8996,10.0
444,5116,10.0
433,5091,10.0
649,7563,10.0
584,6504,10.0
520,5615,10.0
725,9181,10.0
482,5354,10.0
665,7811,10.0
434,5092,10.0
379,4342,10.0
109,536,10.0
136,760,10.0
384,4379,10.0
52,221,10.0
57,261,10.0
28,109,10.0
125,674,10.0
65,285,10.0
349,3919,10.0
253,2423,10.0
270,2662,10.0
328,3569,10.0
121,630,10.0
117,601,10.0
244,2201,10.0
404,4736,10.0
378,4335,10.0
317,3342,10.0
377,4317,10.0
314,3308,10.0
90,423,10.0
413,4873,10.0
288,2896,10.0
291,2949,10.0
32,121,10.0
6,35,10.0
100,477,10.0
324,3514,10.0
345,3882,10.0
348,3910,11.0
255,2439,11.0
51,219,11.0
663,7803,11.0
333,3690,11.0
661,7780,11.0
78,360,11.0
85,394,11.0
294,2961,11.0
304,3133,11.0
515,5587,11.0
486,5399,11.0
251,2407,11.0
426,5059,11.0
161,1062,11.0
746,9644,11.0
451,5140,11.0
163,1090,11.0
195,1572,11.0
242,2166,11.0
454,5180,11.0
469,5247,11.0
189,1486,11.0
15,66,11.0
437,5102,11.0
222,1847,11.0
13,54,11.0
604,6836,11.0
606,6852,11.0
318,3404,12.0
320,3412,12.0
283,2827,12.0
289,2908,12.0
75,346,12.0
757,9890,12.0
468,5240,12.0
41,164,12.0
234,2045,12.0
250,2374,12.0
112,560,12.0
34,127,12.0
137,769,12.0
257,2460,12.0
157,1036,12.0
170,1232,12.0
127,697,12.0
191,1511,13.0
597,6749,13.0
205,1658,13.0
600,6784,13.0
578,6389,13.0
141,789,13.0
555,6022,13.0
114,569,13.0
249,2370,13.0
148,877,13.0
172,1263,13.0
538,5780,13.0
227,1894,13.0
527,5684,13.0
266,2596,13.0
230,1949,13.0
682,8317,13.0
302,3100,13.0
9,44,13.0
411,4824,13.0
99,465,13.0
16,75,13.0
745,9579,13.0
394,4584,13.0
62,273,13.0
385,4395,13.0
498,5458,13.0
326,3551,13.0
72,339,13.0
707,8821,13.0
727,9243,13.0
475,5298,14.0
724,9158,14.0
737,9391,14.0
641,7431,14.0
562,6113,14.0
545,5850,14.0
740,9501,14.0
406,4759,14.0
460,5205,14.0
54,249,14.0
421,5048,14.0
500,5461,14.0
676,8038,14.0
680,8212,14.0
670,7900,14.0
487,5404,14.0
493,5432,14.0
491,5412,14.0
456,5185,15.0
23,94,15.0
321,3415,15.0
395,4589,15.0
311,3264,15.0
243,2179,15.0
196,1573,15.0
613,6978,15.0
583,6465,15.0
741,9528,15.0
533,5746,15.0
263,2571,15.0
466,5235,15.0
146,823,15.0
35,140,15.0
105,516,15.0
540,5785,15.0
38,151,15.0
758,9893,15.0
252,2410,15.0
61,272,15.0
458,5202,15.0
12,53,16.0
608,6912,16.0
5,21,16.0
4,20,16.0
18,79,16.0
718,9097,16.0
719,9101,16.0
636,7353,16.0
26,102,16.0
743,9568,16.0
186,1461,16.0
594,6712,16.0
630,7245,16.0
701,8657,16.0
128,716,16.0
162,1076,16.0
115,596,16.0
160,1061,16.0
669,7884,16.0
619,7068,16.0
593,6687,16.0
215,1749,16.0
259,2512,16.0
247,2293,16.0
559,6077,16.0
280,2787,16.0
241,2165,16.0
525,5663,16.0
296,3012,16.0
310,3260,16.0
232,1993,16.0
254,2432,16.0
351,3947,16.0
389,4473,16.0
449,5124,16.0
339,3757,16.0
397,4618,16.0
590,6627,16.0
419,5039,16.0
416,5022,16.0
224,1881,16.0
414,4949,16.0
648,7549,17.0
135,757,17.0
428,5069,17.0
208,1681,17.0
1,12,17.0
528,5687,17.0
218,1785,17.0
316,3336,17.0
319,3411,17.0
330,3625,17.0
610,6964,17.0
410,4807,17.0
453,5167,17.0
381,4351,17.0
407,4763,17.0
373,4262,17.0
73,344,18.0
19,81,18.0
124,652,18.0
276,2743,18.0
374,4271,18.0
119,613,18.0
361,4065,18.0
357,4034,18.0
48,199,18.0
102,500,18.0
309,3244,18.0
415,4968,18.0
55,250,18.0
325,3515,18.0
68,301,18.0
144,808,18.0
759,9977,18.0
188,1483,18.0
204,1654,18.0
603,6833,18.0
233,2042,18.0
145,821,18.0
67,296,19.0
329,3624,19.0
95,451,19.0
171,1256,19.0
358,4049,19.0
738,9471,19.0
155,1028,19.0
398,4635,19.0
70,306,19.0
132,739,19.0
219,1793,19.0
154,1021,19.0
403,4717,19.0
130,733,19.0
692,8451,20.0
56,260,20.0
229,1936,20.0
193,1551,20.0
341,3816,20.0
93,442,20.0
343,3842,20.0
344,3846,20.0
312,3270,20.0
134,747,20.0
659,7754,20.0
200,1625,20.0
202,1646,20.0
201,1640,20.0
24,100,20.0
198,1585,20.0
166,1155,20.0
728,9257,20.0
519,5614,20.0
107,520,20.0
301,3082,20.0
363,4107,21.0
730,9301,21.0
579,6404,21.0
715,8962,21.0
408,4768,21.0
711,8912,21.0
337,3727,21.0
577,6375,21.0
420,5042,21.0
418,5032,21.0
618,7066,21.0
557,6050,21.0
689,8431,21.0
673,7931,21.0
639,7367,21.0
267,2601,21.0
699,8644,21.0
537,5776,21.0
83,382,21.0
184,1411,21.0
281,2803,21.0
626,7214,21.0
549,5899,21.0
546,5862,21.0
697,8633,21.0
151,966,22.0
212,1711,22.0
236,2095,22.0
225,1888,22.0
142,798,22.0
611,6972,22.0
585,6538,22.0
539,5783,22.0
744,9575,22.0
609,6922,23.0
401,4671,23.0
256,2444,23.0
246,2264,23.0
203,1653,23.0
220,1814,23.0
380,4344,23.0
595,6721,23.0
290,2942,23.0
303,3120,23.0
237,2103,23.0
623,7144,23.0
74,345,23.0
231,1961,23.0
82,372,23.0
565,6125,23.0
508,5541,23.0
684,8363,23.0
572,6256,23.0
305,3141,23.0
228,1917,23.0
268,2645,24.0
492,5418,24.0
207,1672,24.0
71,314,24.0
733,9319,24.0
601,6811,24.0
101,493,24.0
484,5380,24.0
483,5370,24.0
563,6117,24.0
690,8436,24.0
714,8938,24.0
42,168,24.0
94,445,24.0
50,211,24.0
350,3934,24.0
327,3559,24.0
